GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US01,01,Alabama,24736,147
0400000US02,02,Alaska,34191,375
0400000US04,04,Arizona,26686,129
0400000US05,05,Arkansas,23401,168
0400000US06,06,California,31458,98
0400000US08,08,Colorado,33230,154
0400000US09,09,Connecticut,39906,265
0400000US10,10,Delaware,31118,335
0400000US11,11,District of Columbia,48781,611
0400000US12,12,Florida,27598,113
0400000US13,13,Georgia,26678,128
0400000US15,15,Hawaii,30970,252
0400000US16,16,Idaho,24280,238
0400000US17,17,Illinois,31502,122
0400000US18,18,Indiana,26117,135
0400000US19,19,Iowa,28872,162
0400000US20,20,Kansas,28478,173
0400000US21,21,Kentucky,24802,150
0400000US22,22,Louisiana,25515,159
0400000US23,23,Maine,28473,248
0400000US24,24,Maryland,37756,162
0400000US25,25,Massachusetts,38069,179
0400000US26,26,Michigan,27549,104
0400000US27,27,Minnesota,33225,128
0400000US28,28,Mississippi,21651,157
0400000US29,29,Missouri,27044,131
0400000US30,30,Montana,27309,298
0400000US31,31,Nebraska,28596,186
0400000US32,32,Nevada,27253,178
0400000US33,33,New Hampshire,35264,265
0400000US34,34,New Jersey,37538,171
0400000US35,35,New Mexico,24459,190
0400000US36,36,New York,34212,144
0400000US37,37,North Carolina,26779,127
0400000US38,38,North Dakota,33107,349
0400000US39,39,Ohio,27800,107
0400000US40,40,Oklahoma,25628,132
0400000US41,41,Oregon,28822,161
0400000US42,42,Pennsylvania,30137,97
0400000US44,44,Rhode Island,31904,320
0400000US45,45,South Carolina,25521,134
0400000US46,46,South Dakota,27516,262
0400000US47,47,Tennessee,26019,123
0400000US48,48,Texas,27828,94
0400000US49,49,Utah,25600,154
0400000US50,50,Vermont,30663,313
0400000US51,51,Virginia,34967,143
0400000US53,53,Washington,32999,153
0400000US54,54,West Virginia,24002,204
0400000US55,55,Wisconsin,29253,114
0400000US56,56,Wyoming,30139,353
0400000US72,72,Puerto Rico,11688,90
